id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,tags
tm299504,Holy Camp!,MOVIE,"María and Susana, two rebellious teenagers, spend the summer in a catholic camp. While they are grounded during a weekend, the most unexpected arrival in the most unexpected way will change their feelings about life, love and freedom.",2017,NR,109,comedy european,ES,0.0,6.2,3986.0,10.419,6.8,Macarena García,"comedy european María and Susana, two rebellious teenagers, spend the summer in a catholic camp. While they are grounded during a weekend, the most unexpected arrival in the most unexpected way will change their feelings about life, love and freedom. ES MOVIE NR Macarena García"
tm321224,"Game Over, Man!",MOVIE,Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists.,2018,R,100,comedy action,US,0.0,5.4,29773.0,14.0,5.5,Adam DeVine,comedy action Three friends are on the verge of getting their video game financed when their benefactor is taken hostage by terrorists. US MOVIE R Adam DeVine
tm359978,Forgotten,MOVIE,"Seoul, South Korea, 1997. When the young but extremely anxious student Jin-seok, his parents and his successful older brother Yoo-seok move to a new home, mysterious and frightening events begin to happen around them, unexplained events that threaten to ruin their seemingly happy lives. Unable to understand what is happening, Jin-seok wonders if he is losing his mind.",2017,NR,109,thriller horror crime scifi,KR,0.0,7.4,29804.0,17.152,8.0,Kang Ha-neul,"thriller horror crime scifi Seoul, South Korea, 1997. When the young but extremely anxious student Jin-seok, his parents and his successful older brother Yoo-seok move to a new home, mysterious and frightening events begin to happen around them, unexplained events that threaten to ruin their seemingly happy lives. Unable to understand what is happening, Jin-seok wonders if he is losing his mind. KR MOVIE NR Kang Ha-neul"
tm306301,Piercing,MOVIE,"After kissing his wife and baby goodbye for a seemingly normal business trip, Reed checks himself into a hotel room to accomplish something he’s always dreamed of: the perfect murder. As his sinister plans unfold, he soon realizes he might be in over his head with a mysteriously unhinged call girl named Jackie.",2018,R,82,thriller horror,FR US,0.0,5.5,7534.0,9.613,5.8,Christopher Abbott,"thriller horror After kissing his wife and baby goodbye for a seemingly normal business trip, Reed checks himself into a hotel room to accomplish something he’s always dreamed of: the perfect murder. As his sinister plans unfold, he soon realizes he might be in over his head with a mysteriously unhinged call girl named Jackie. FR US MOVIE R Christopher Abbott"
ts57947,Unit 42,SHOW,"The investigations of two police officers from The Brussels Digital Unit, a unit specializing in cybercrime.",2017,NR,48,crime thriller drama european,BE,2.0,7.0,2311.0,14.82,6.6,Patrick Ridremont,"crime thriller drama european The investigations of two police officers from The Brussels Digital Unit, a unit specializing in cybercrime. BE SHOW NR Patrick Ridremont"
ts53936,Innocent,SHOW,"In a peaceful, rustic town, a retired officer and his family are mired in a murder mystery riddled with shocking, buried secrets.",2017,TV-14,51,drama crime,TR,1.0,8.4,17727.0,10.828,8.2,Haluk Bilginer,"drama crime In a peaceful, rustic town, a retired officer and his family are mired in a murder mystery riddled with shocking, buried secrets. TR SHOW TV-14 Haluk Bilginer"
ts83763,Black Earth Rising,SHOW,"As a child, Kate Ashby was rescued from the horrific aftermath of the Rwandan genocide and brought to the UK. But the tragic shadow of her past proves impossible to escape.",2018,TV-MA,59,crime thriller,GB,1.0,7.4,4790.0,13.209,6.9,Michaela Coel,"crime thriller As a child, Kate Ashby was rescued from the horrific aftermath of the Rwandan genocide and brought to the UK. But the tragic shadow of her past proves impossible to escape. GB SHOW TV-MA Michaela Coel"
tm298084,On Body And Soul,MOVIE,"Two introverted people find out by pure chance that they share the same dream every night. They are puzzled, incredulous, a bit frightened. As they hesitantly accept this strange coincidence, they try to recreate in broad daylight what happens in their dream.",2017,NR,116,fantasy drama romance,HU,0.0,7.5,27003.0,7.263,7.2,Alexandra Borbély,"fantasy drama romance Two introverted people find out by pure chance that they share the same dream every night. They are puzzled, incredulous, a bit frightened. As they hesitantly accept this strange coincidence, they try to recreate in broad daylight what happens in their dream. HU MOVIE NR Alexandra Borbély"
tm244148,Mowgli: Legend Of The Jungle,MOVIE,"A human child raised by wolves, must face off against a menacing tiger named Shere Khan, as well as his own origins.",2018,PG-13,105,drama fantasy,GB US,0.0,6.5,60870.0,25.389,6.5,Rohan Chand,"drama fantasy A human child raised by wolves, must face off against a menacing tiger named Shere Khan, as well as his own origins. GB US MOVIE PG-13 Rohan Chand"
tm436470,No Escape Room,MOVIE,A father and daughter check out a small town escape room and discover there is something sinister about the place.,2018,NR,85,thriller horror,US,0.0,5.0,4277.0,12.13,6.3,Jeni Ross,thriller horror A father and daughter check out a small town escape room and discover there is something sinister about the place. US MOVIE NR Jeni Ross
